"PackageIdentifier","waivervalue","WaiverKey","WaiverLabel"
"Airspy.SDRSharp.DotNet9","airspy.com","InstallerUrl","Policy-Test-2.9"
"Anysphere.Cursor","download.todesktop.com","InstallerUrl","Validation-Domain"
"APIDocumentation.Scalar","download.todesktop.com","InstallerUrl","Validation-Domain"
"AuraMarker.Lattics","media.zine.la","InstallerUrl","Validation-Domain"
"abgox.InputTip","github.com","InstallerUrl","Validation-Domain"
"Audient.iD","d9w4fhj63j193.cloudfront.net","InstallerUrl","Validation-Domain"
"Balsamiq.Wireframes","build_archives.s3.amazonaws.com","InstallerUrl","Validation-Domain"
"Bilibili.Bcut","boss.hdslb.com","InstallerUrl","Validation-Domain"
"Chromium.ChromeDriver","storage.googleapis.com","InstallerUrl","Validation-Domain"
"CloudImperiumGames.RSILauncher","install.robertsspaceindustries.com","InstallerUrl","Validation-Domain"
"CologneCodeCompany.XYplorerPortable","www.xyplorer.com","InstallerUrl","Policy-Test-2.7"
"Comfy.ComfyUI-Desktop","download.todesktop.com","InstallerUrl","Validation-Domain"
"DirkJansen.MailCheck2","www.d-jan.de","InstallerUrl","Validation-Domain"
"DeltaChat.DeltaChat","download.delta.chat","InstallerUrl","Validation-Domain"
"DelineaInc.ThycoticLocalSecurityAgent","tmsnuget.thycotic.com","InstallerUrl","Validation-No-Executables"
"EastMoney.EastMoney","swdlcdn.eastmoney.com","InstallerUrl","Policy-Test-2.9"
"ElectronCommunity.ElectronFiddle","github.com","InstallerUrl","Validation-Forbidden-URL-Error"
"Element.Element","packages.element.io","InstallerUrl","URL-Validation-Error"
"EuSoft.Dehelper","static.frdic.com","InstallerUrl","Validation-Domain"
"EuSoft.Eshelper","static.frdic.com","InstallerUrl","Validation-Domain"
"EuSoft.Frhelper","static.frdic.com","InstallerUrl","Validation-Domain"
"FlightGear.FlightGear","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"FreedomScientific.Fusion.2025","software.vfo.digital","InstallerUrl","Validation-Domain"
"FreedomScientific.Fusion.2024","software.vfo.digital","InstallerUrl","Validation-Domain"
"GnuWin32.Flex","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"GOG.Galaxy","cdn.gog.com","InstallerUrl","Validation-Forbidden-URL-Error"
"GovernmentOfThePRC.HeNan.ZhengZhou.ZhengZhengDing","zwdd-zhegnzhou.oss-cn-beijing.aliyuncs.com","InstallerUrl","Validation-Domain"
"GovernmentOfThePRC.SAT.ETB.WithholdingSide","file.etax.chinatax.gov.cn","InstallerUrl","Validation-Domain"
"GPSoftware.DirectoryOpus","cdn2.gpsoft.com.au","InstallerUrl","Validation-Domain"
"HaiYing.OfficeAI","downloadcdn.office-ai.cn","InstallerUrl","URL-Validation-Error"
"h3poteto.whalebird-desktop","github.com","InstallerUrl","URL-Validation-Error"
"KDE.KStars","www.indilib.org","InstallerUrl","Validation-Domain"
"KDE.Parley","cdn.kde.org","InstallerUrl","Policy-Test-2.7"
"KeeperSecurity.KeeperDesktop","keepersecurity.com","InstallerUrl","Policy-Test-2.8"
"Kingsoft.PowerWord","download.iciba.com","InstallerUrl","Validation-Domain"
"Lazarus.Lazarus","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"LEERINA.ShanaEncoder","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
"LeNgocKhoa.Laragon","github.com","InstallerUrl","URL-Validation-Error"
"LinearOrbit.Linear","download.todesktop.com","InstallerUrl","Validation-Domain"
"Magnate.SpeedManager","file2.speedtest.cn/","InstallerUrl","Validation-Domain"
"Magnate.SpeedManager","file2.speedtest.cn","InstallerUrl","Validation-Domain"
"MAILPLUGInc.MAILPLUGMessengerDesktop","chat.mailplug.com","InstallerUrl","URL-Validation-Error"
"MartiCliment.UniGetUI","github.com","InstallerUrl","Validation-Domain"
"MAXHUB.MAXHUBShare","ifpserver.com","InstallerUrl","Validation-Domain"
"MAXHUB.MAXHUBShare.CN","static.cvte.com","InstallerUrl","Validation-Domain"
"Microsoft.RemoteDesktopClient","res.cdn.office.net","InstallerUrl","Validation-Domain"
"MinistryOfEducationOfThePRC.SmartSchools","download.ykt.cbern.com.cn","InstallerUrl","Validation-Domain"
"MintplexLabs.AnythingLLM","cdn.useanything.com","InstallerUrl","Validation-Domain"
"Modyfi.Modyfi","download.todesktop.com","InstallerUrl","Validation-Domain"
"monkeyWie.Gopeed","github.com","InstallerUrl","Policy-Test-2.7"
"monkeyWie.Gopeed.Web","github.com","InstallerUrl","Policy-Test-2.7"
"Morgen.Morgen","download.todesktop.com","InstallerUrl","Validation-Domain"
"Morningstar.MorningstarDirectPrerequisite","gladmainnew.morningstar.com","InstallerUrl","Validation-No-Executables"
"NDI.NDIRuntime","downloads.ndi.tv","InstallerUrl","Validation-No-Executables"
"nkdAgility.AzureDevOpsMigrationTools.Preview","github.com","InstallerUrl","Policy-Test-2.7"
"Nutstore.EO2","dc-pkg-cdn.jianguoyun.com","InstallerUrl","Validation-Domain"
"OliverSchwendener.ueli","github.com","InstallerUrl","URL-Validation-Error"
"OSGeo.QGIS_LTR","qgis.org","InstallerUrl","URL-Validation-Error"
"PostgreSQL.PostgreSQL.13","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.14","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.15","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"PostgreSQL.PostgreSQL.17","get.enterprisedb.com","InstallerUrl","Validation-Domain"
"Qingfeng.HeyboxChat","macc.max-c.com","InstallerUrl","Validation-Domain"
"Summay.Sunsama","download.todesktop.com","InstallerUrl","Validation-Domain"
"Surfshark.Surfshark","surfshark.com","InstallerUrl","Policy-Test-2.3"
"TASKING.winIDEA","www.isystem.com","InstallerUrl","Validation-Domain"
"Technelysium.Chromas","www.technelysium.com.au","InstallerUrl","Policy-Test-1.8"
"Technelysium.Chromas.Pro","www.technelysium.com.au","InstallerUrl","Policy-Test-1.8"
"Wagnardsoft.DisplayDriverUninstaller","www.wagnardsoft.com","InstallerUrl","Validation-No-Executables"
"Xiaocai.MiniCADSee","clientdown.appol.com","InstallerUrl","Validation-Domain"
"Yuanfudao.Yuanfudao","apphub.fbcontent.cn","InstallerUrl","Validation-Domain"
"zadjii.ObsidianNotesExtension","github.com","InstallerUrl","Policy-Test-2.7"
"Glodon.CADReader.CN","yuntu-f.kuaicad.com","InstallerUrl","URL-Validation-Error"
"TigerVNC.TigerVNC","sourceforge.net","InstallerUrl","Validation-Unapproved-URL"
