"Code","Dec","InvDec","Token","Message"
"00000000","000","4294967296","Success","Success"
"00000001","-4294967295","1","ERROR_INVALID_FUNCTION",""
"0000007B","-4294967173","123","Error_Invalid_Name","The filename is invalid."
"00000275","-4294966667","629","Error_cant_enable_Deny_only","A group marked use for deny only can not be enabled"
"0000041D","-4294966243","1053","ERROR_SERVICE_REQUEST_TIMEOUT","The service did not respond to the start or control request in a timely fashion."
"000004C3","-4294966077","1219","Error_Session_Credential_Conflict","Multiple connections to a server or shared resource by the same user"
"000004C5","-4294966075","1221","Error_Dup_Domainename","The workgroup or domain name is already in use by another computer on the network."
"000005D5","-4294965803","1493","NULL",""
"00000619","-4294965735","1561","Error_Invalid_HW_Profile","The specified hardware profile configuration is invalid"
"00000641","-4294965695","1601","ERROR_INSTALL_SERVICE_FAILURE","The Windows Installer Service could not be accessed. This can occur if the Windows Installer is not correctly installed."
"00000642","-4294965694","1602","ERROR_INSTALL_USEREXIT","User cancelled installation."
"00000643","-4294965693","1603","ERROR_INSTALL_FAILURE","Fatal error during installation. OR Previous MSI installer is missing (Or it might mean Install successful but system restart may be required.) Should this be add as an `InstallerSuccessCode` or similar?"
"00000644","-4294965692","1604","ERROR_INSTALL_SUSPEND","Installation suspended"
"00000645","-4294965691","1605","ERROR_UNKNOWN_PRODUCT","This action is only valid for products that are currently installed."
"00000646","-4294965690","1606","ERROR_UNKNOWN_FEATURE","Feature ID not registered."
"00000647","-4294965689","1607","ERROR_UNKNOWN_COMPONENT","Component ID not registered."
"00000648","-4294965688","1608","ERROR_UNKNOWN_PROPERTY","Unknown property."
"00000649","-4294965687","1609","ERROR_INVALID_HANDLE_STATE","Handle is in an invalid state."
"0000064A","-4294965686","1610","ERROR_BAD_CONFIGURATION","The configuration data for this product is corrupt."
"0000064B","-4294965685","1611","ERROR_INDEX_ABSENT","Component qualifier not present."
"0000064C","-4294965684","1612","ERROR_INSTALL_SOURCE_ABSENT","The installation source for this product is not available."
"0000064D","-4294965683","1613","ERROR_INSTALL_PACKAGE_VERSION","This installation package cannot be installed by the Windows Installer service. You must install a Windows service pack that contains a newer version of the Windows Installer service."
"0000064E","-4294965682","1614","ERROR_PRODUCT_UNINSTALLED","Product is uninstalled."
"0000064F","-4294965681","1615","ERROR_BAD_QUERY_SYNTAX","SQL query syntax invalid or unsupported."
"00000650","-4294965680","1616","ERROR_INVALID_FIELD","Record field does not exist."
"00000651","-4294965679","1617","ERROR_DEVICE_REMOVED","The device has been removed."
"00000652","-4294965678","1618","ERROR_INSTALL_ALREADY_RUNNING","Another installation is already in progress."
"00000653","-4294965677","1619","ERROR_INSTALL_PACKAGE_OPEN_FAILED","This installation package could not be opened. "
"00000654","-4294965676","1620","ERROR_INSTALL_PACKAGE_INVALID","This installation p ackage could not be opened. Contact the application vendor to verify that this is a valid Windows Installer package."
"00000655","-4294965675","1621","ERROR_INSTALL_UI_FAILURE","There was an error starting the Windows Installer service user interface. "
"00000656","-4294965674","1622","ERROR_INSTALL_LOG_FAILURE",""
"00000657","-4294965673","1623","ERROR_INSTALL_LANGUAGE_UNSUPPORTED","The language of this installation package is not supported by your system."
"00000658","-4294965672","1624","ERROR_INSTALL_TRANSFORM_FAILURE","???"
